frequency;V(/OPA858/VOUT) (phase);V(/OPA858/VOUT) (gain);
1.69044;-5.18459e-06;140.001;
1.69434;-5.19654e-06;140.001;
1.69824;-5.20852e-06;140.001;
1.70216;-5.22053e-06;140.001;
1.70608;-5.23256e-06;140.001;
1.71002;-5.24463e-06;140.001;
1.71396;-5.25672e-06;140.001;
1.71791;-5.26884e-06;140.001;
1.72187;-5.28098e-06;140.001;
1.72584;-5.29316e-06;140.001;
1.72982;-5.30536e-06;140.001;
1.7338;-5.31759e-06;140.001;
1.7378;-5.32985e-06;140.001;
1.74181;-5.34213e-06;140.001;
1.74582;-5.35445e-06;140.001;
1.74985;-5.36679e-06;140.001;
1.75388;-5.37916e-06;140.001;
1.75792;-5.39156e-06;140.001;
1.76198;-5.40399e-06;140.001;
1.76604;-5.41645e-06;140.001;
1.77011;-5.42893e-06;140.001;
1.77419;-5.44145e-06;140.001;
1.77828;-5.45399e-06;140.001;
1.78238;-5.46657e-06;140.001;
1.78649;-5.47917e-06;140.001;
1.79061;-5.4918e-06;140.001;
1.79473;-5.50446e-06;140.001;
1.79887;-5.51715e-06;140.001;
1.80302;-5.52987e-06;140.001;
1.80717;-5.54261e-06;140.001;
1.81134;-5.55539e-06;140.001;
1.81552;-5.5682e-06;140.001;
1.8197;-5.58103e-06;140.001;
1.8239;-5.5939e-06;140.001;
1.8281;-5.60679e-06;140.001;
1.83231;-5.61972e-06;140.001;
1.83654;-5.63267e-06;140.001;
1.84077;-5.64566e-06;140.001;
1.84502;-5.65867e-06;140.001;
1.84927;-5.67172e-06;140.001;
1.85353;-5.68479e-06;140.001;
1.8578;-5.6979e-06;140.001;
1.86209;-5.71103e-06;140.001;
1.86638;-5.7242e-06;140.001;
1.87068;-5.73739e-06;140.001;
1.87499;-5.75062e-06;140.001;
1.87932;-5.76388e-06;140.001;
1.88365;-5.77716e-06;140.001;
1.88799;-5.79048e-06;140.001;
1.89234;-5.80383e-06;140.001;
1.89671;-5.81721e-06;140.001;
1.90108;-5.83062e-06;140.001;
1.90546;-5.84406e-06;140.001;
1.90985;-5.85753e-06;140.001;
1.91426;-5.87103e-06;140.001;
1.91867;-5.88457e-06;140.001;
1.92309;-5.89813e-06;140.001;
1.92752;-5.91173e-06;140.001;
1.93197;-5.92536e-06;140.001;
1.93642;-5.93902e-06;140.001;
1.94089;-5.95271e-06;140.001;
1.94536;-5.96643e-06;140.001;
1.94984;-5.98018e-06;140.001;
1.95434;-5.99397e-06;140.001;
1.95884;-6.00779e-06;140.001;
1.96336;-6.02164e-06;140.001;
1.96789;-6.03552e-06;140.001;
1.97242;-6.04943e-06;140.001;
1.97697;-6.06338e-06;140.001;
1.98153;-6.07736e-06;140.001;
1.98609;-6.09136e-06;140.001;
1.99067;-6.10541e-06;140.001;
1.99526;-6.11948e-06;140.001;
1.99986;-6.13359e-06;140.001;
2.00447;-6.14773e-06;140.001;
2.00909;-6.1619e-06;140.001;
2.01372;-6.1761e-06;140.001;
2.01837;-6.19034e-06;140.001;
2.02302;-6.20461e-06;140.001;
2.02768;-6.21891e-06;140.001;
2.03236;-6.23325e-06;140.001;
2.03704;-6.24762e-06;140.001;
2.04174;-6.26202e-06;140.001;
2.04644;-6.27646e-06;140.001;
2.05116;-6.29093e-06;140.001;
2.05589;-6.30543e-06;140.001;
2.06063;-6.31996e-06;140.001;
2.06538;-6.33453e-06;140.001;
2.07014;-6.34914e-06;140.001;
2.07491;-6.36377e-06;140.001;
2.0797;-6.37844e-06;140.001;
2.08449;-6.39315e-06;140.001;
2.0893;-6.40788e-06;140.001;
2.09411;-6.42266e-06;140.001;
2.09894;-6.43746e-06;140.001;
2.10378;-6.4523e-06;140.001;
2.10863;-6.46718e-06;140.001;
2.11349;-6.48208e-06;140.001;
2.11836;-6.49703e-06;140.001;
2.12324;-6.512e-06;140.001;
2.12814;-6.52702e-06;140.001;
2.13304;-6.54206e-06;140.001;
2.13796;-6.55714e-06;140.001;
2.14289;-6.57226e-06;140.001;
2.14783;-6.58741e-06;140.001;
2.15278;-6.60259e-06;140.001;
2.15774;-6.61781e-06;140.001;
2.16272;-6.63307e-06;140.001;
2.1677;-6.64836e-06;140.001;
2.1727;-6.66369e-06;140.001;
2.17771;-6.67905e-06;140.001;
2.18273;-6.69445e-06;140.001;
2.18776;-6.70988e-06;140.001;
2.1928;-6.72535e-06;140.001;
2.19786;-6.74085e-06;140.001;
2.20293;-6.75639e-06;140.001;
2.208;-6.77196e-06;140.001;
2.21309;-6.78757e-06;140.001;
2.2182;-6.80322e-06;140.001;
2.22331;-6.8189e-06;140.001;
2.22844;-6.83462e-06;140.001;
2.23357;-6.85038e-06;140.001;
2.23872;-6.86617e-06;140.001;
2.24388;-6.882e-06;140.001;
2.24905;-6.89786e-06;140.001;
2.25424;-6.91377e-06;140.001;
2.25944;-6.9297e-06;140.001;
2.26464;-6.94568e-06;140.001;
2.26986;-6.96169e-06;140.001;
2.2751;-6.97774e-06;140.001;
2.28034;-6.99382e-06;140.001;
2.2856;-7.00995e-06;140.001;
2.29087;-7.0261e-06;140.001;
2.29615;-7.0423e-06;140.001;
2.30144;-7.05854e-06;140.001;
2.30675;-7.07481e-06;140.001;
2.31206;-7.09112e-06;140.001;
2.31739;-7.10746e-06;140.001;
2.32274;-7.12385e-06;140.001;
2.32809;-7.14027e-06;140.001;
2.33346;-7.15673e-06;140.001;
2.33884;-7.17323e-06;140.001;
2.34423;-7.18976e-06;140.001;
2.34963;-7.20634e-06;140.001;
2.35505;-7.22295e-06;140.001;
2.36048;-7.2396e-06;140.001;
2.36592;-7.25629e-06;140.001;
2.37137;-7.27302e-06;140.001;
2.37684;-7.28978e-06;140.001;
2.38232;-7.30659e-06;140.001;
2.38781;-7.32343e-06;140.001;
2.39332;-7.34031e-06;140.001;
2.39883;-7.35723e-06;140.001;
2.40436;-7.37419e-06;140.001;
2.40991;-7.39119e-06;140.001;
2.41546;-7.40823e-06;140.001;
2.42103;-7.42531e-06;140.001;
2.42661;-7.44243e-06;140.001;
2.4322;-7.45958e-06;140.001;
2.43781;-7.47678e-06;140.001;
2.44343;-7.49402e-06;140.001;
2.44906;-7.51129e-06;140.001;
2.45471;-7.52861e-06;140.001;
2.46037;-7.54596e-06;140.001;
2.46604;-7.56336e-06;140.001;
2.47172;-7.58079e-06;140.001;
2.47742;-7.59827e-06;140.001;
2.48313;-7.61578e-06;140.001;
2.48886;-7.63334e-06;140.001;
2.49459;-7.65094e-06;140.001;
2.50035;-7.66857e-06;140.001;
2.50611;-7.68625e-06;140.001;
2.51189;-7.70397e-06;140.001;
2.51768;-7.72173e-06;140.001;
2.52348;-7.73953e-06;140.001;
2.5293;-7.75737e-06;140.001;
2.53513;-7.77525e-06;140.001;
2.54097;-7.79318e-06;140.001;
2.54683;-7.81114e-06;140.001;
2.5527;-7.82915e-06;140.001;
2.55859;-7.8472e-06;140.001;
2.56448;-7.86529e-06;140.001;
2.5704;-7.88342e-06;140.001;
2.57632;-7.90159e-06;140.001;
2.58226;-7.91981e-06;140.001;
2.58821;-7.93806e-06;140.001;
2.59418;-7.95636e-06;140.001;
2.60016;-7.9747e-06;140.001;
2.60615;-7.99309e-06;140.001;
2.61216;-8.01151e-06;140.001;
2.61818;-8.02998e-06;140.001;
2.62422;-8.04849e-06;140.001;
2.63027;-8.06705e-06;140.001;
2.63633;-8.08564e-06;140.001;
2.64241;-8.10428e-06;140.001;
2.6485;-8.12297e-06;140.001;
2.65461;-8.14169e-06;140.001;
2.66073;-8.16046e-06;140.001;
2.66686;-8.17927e-06;140.001;
2.67301;-8.19813e-06;140.001;
2.67917;-8.21703e-06;140.001;
2.68534;-8.23597e-06;140.001;
2.69153;-8.25495e-06;140.001;
2.69774;-8.27398e-06;140.001;
2.70396;-8.29306e-06;140.001;
2.71019;-8.31217e-06;140.001;
2.71644;-8.33134e-06;140.001;
2.7227;-8.35054e-06;140.001;
2.72898;-8.36979e-06;140.001;
2.73527;-8.38909e-06;140.001;
2.74157;-8.40842e-06;140.001;
2.74789;-8.42781e-06;140.001;
2.75423;-8.44724e-06;140.001;
2.76058;-8.46671e-06;140.001;
2.76694;-8.48623e-06;140.001;
2.77332;-8.50579e-06;140.001;
2.77971;-8.5254e-06;140.001;
2.78612;-8.54505e-06;140.001;
2.79254;-8.56475e-06;140.001;
2.79898;-8.58449e-06;140.001;
2.80543;-8.60428e-06;140.001;
2.8119;-8.62412e-06;140.001;
2.81838;-8.644e-06;140.001;
2.82488;-8.66392e-06;140.001;
2.83139;-8.6839e-06;140.001;
2.83792;-8.70391e-06;140.001;
2.84446;-8.72398e-06;140.001;
2.85102;-8.74409e-06;140.001;
2.85759;-8.76425e-06;140.001;
2.86418;-8.78445e-06;140.001;
2.87078;-8.8047e-06;140.001;
2.8774;-8.825e-06;140.001;
2.88403;-8.84534e-06;140.001;
2.89068;-8.86573e-06;140.001;
2.89734;-8.88617e-06;140.001;
2.90402;-8.90665e-06;140.001;
2.91072;-8.92719e-06;140.001;
2.91743;-8.94777e-06;140.001;
2.92415;-8.96839e-06;140.001;
2.93089;-8.98907e-06;140.001;
2.93765;-9.00979e-06;140.001;
2.94442;-9.03056e-06;140.001;
2.95121;-9.05138e-06;140.001;
2.95801;-9.07224e-06;140.001;
2.96483;-9.09316e-06;140.001;
2.97167;-9.11412e-06;140.001;
2.97852;-9.13513e-06;140.001;
2.98538;-9.15619e-06;140.001;
2.99226;-9.17729e-06;140.001;
2.99916;-9.19845e-06;140.001;
3.00608;-9.21965e-06;140.001;
3.01301;-9.24091e-06;140.001;
3.01995;-9.26221e-06;140.001;
3.02691;-9.28356e-06;140.001;
3.03389;-9.30496e-06;140.001;
3.04089;-9.32641e-06;140.001;
3.04789;-9.34791e-06;140.001;
3.05492;-9.36946e-06;140.001;
3.06196;-9.39106e-06;140.001;
3.06902;-9.41271e-06;140.001;
3.0761;-9.43441e-06;140.001;
3.08319;-9.45616e-06;140.001;
3.0903;-9.47795e-06;140.001;
3.09742;-9.4998e-06;140.001;
3.10456;-9.5217e-06;140.001;
3.11172;-9.54365e-06;140.001;
3.11889;-9.56565e-06;140.001;
3.12608;-9.5877e-06;140.001;
3.13329;-9.60981e-06;140.001;
3.14051;-9.63196e-06;140.001;
3.14775;-9.65416e-06;140.001;
3.155;-9.67642e-06;140.001;
3.16228;-9.69872e-06;140.001;
3.16957;-9.72108e-06;140.001;
3.17687;-9.74349e-06;140.001;
3.1842;-9.76595e-06;140.001;
3.19154;-9.78847e-06;140.001;
3.1989;-9.81103e-06;140.001;
3.20627;-9.83365e-06;140.001;
3.21366;-9.85632e-06;140.001;
3.22107;-9.87904e-06;140.001;
3.22849;-9.90181e-06;140.001;
3.23594;-9.92464e-06;140.001;
3.2434;-9.94752e-06;140.001;
3.25087;-9.97045e-06;140.001;
3.25837;-9.99343e-06;140.001;
3.26588;-1.00165e-05;140.001;
3.27341;-1.00396e-05;140.001;
3.28095;-1.00627e-05;140.001;
3.28852;-1.00859e-05;140.001;
3.2961;-1.01091e-05;140.001;
3.3037;-1.01325e-05;140.001;
3.31131;-1.01558e-05;140.001;
3.31894;-1.01792e-05;140.001;
3.3266;-1.02027e-05;140.001;
3.33426;-1.02262e-05;140.001;
3.34195;-1.02498e-05;140.001;
3.34965;-1.02734e-05;140.001;
3.35738;-1.02971e-05;140.001;
3.36512;-1.03208e-05;140.001;
3.37287;-1.03446e-05;140.001;
3.38065;-1.03685e-05;140.001;
3.38844;-1.03924e-05;140.001;
3.39625;-1.04163e-05;140.001;
3.40408;-1.04403e-05;140.001;
3.41193;-1.04644e-05;140.001;
3.41979;-1.04885e-05;140.001;
3.42768;-1.05127e-05;140.001;
3.43558;-1.05369e-05;140.001;
3.4435;-1.05612e-05;140.001;
3.45144;-1.05856e-05;140.001;
3.45939;-1.061e-05;140.001;
3.46737;-1.06344e-05;140.001;
3.47536;-1.0659e-05;140.001;
3.48337;-1.06835e-05;140.001;
3.4914;-1.07082e-05;140.001;
3.49945;-1.07328e-05;140.001;
3.50752;-1.07576e-05;140.001;
3.5156;-1.07824e-05;140.001;
3.52371;-1.08072e-05;140.001;
3.53183;-1.08321e-05;140.001;
3.53997;-1.08571e-05;140.001;
3.54813;-1.08821e-05;140.001;
3.55631;-1.09072e-05;140.001;
3.56451;-1.09324e-05;140.001;
3.57273;-1.09576e-05;140.001;
3.58096;-1.09828e-05;140.001;
3.58922;-1.10082e-05;140.001;
3.59749;-1.10335e-05;140.001;
3.60579;-1.1059e-05;140.001;
3.6141;-1.10845e-05;140.001;
3.62243;-1.111e-05;140.001;
3.63078;-1.11356e-05;140.001;
3.63915;-1.11613e-05;140.001;
3.64754;-1.1187e-05;140.001;
3.65595;-1.12128e-05;140.001;
3.66438;-1.12387e-05;140.001;
3.67282;-1.12646e-05;140.001;
3.68129;-1.12905e-05;140.001;
3.68978;-1.13166e-05;140.001;
3.69828;-1.13427e-05;140.001;
3.70681;-1.13688e-05;140.001;
3.71535;-1.1395e-05;140.001;
3.72392;-1.14213e-05;140.001;
3.7325;-1.14476e-05;140.001;
3.74111;-1.1474e-05;140.001;
3.74973;-1.15004e-05;140.001;
3.75837;-1.1527e-05;140.001;
3.76704;-1.15535e-05;140.001;
3.77572;-1.15802e-05;140.001;
3.78443;-1.16069e-05;140.001;
3.79315;-1.16336e-05;140.001;
3.80189;-1.16604e-05;140.001;
3.81066;-1.16873e-05;140.001;
3.81944;-1.17143e-05;140.001;
3.82825;-1.17413e-05;140.001;
3.83707;-1.17683e-05;140.001;
3.84592;-1.17955e-05;140.001;
3.85478;-1.18226e-05;140.001;
3.86367;-1.18499e-05;140.001;
3.87258;-1.18772e-05;140.001;
3.8815;-1.19046e-05;140.001;
3.89045;-1.1932e-05;140.001;
3.89942;-1.19595e-05;140.001;
3.90841;-1.19871e-05;140.001;
3.91742;-1.20147e-05;140.001;
3.92645;-1.20424e-05;140.001;
3.9355;-1.20702e-05;140.001;
3.94457;-1.2098e-05;140.001;
3.95367;-1.21259e-05;140.001;
3.96278;-1.21539e-05;140.001;
3.97192;-1.21819e-05;140.001;
3.98107;-1.221e-05;140.001;
3.99025;-1.22381e-05;140.001;
3.99945;-1.22663e-05;140.001;
4.00867;-1.22946e-05;140.001;
4.01791;-1.23229e-05;140.001;
4.02717;-1.23514e-05;140.001;
4.03645;-1.23798e-05;140.001;
4.04576;-1.24084e-05;140.001;
4.05509;-1.2437e-05;140.001;
4.06443;-1.24656e-05;140.001;
4.0738;-1.24944e-05;140.001;
4.08319;-1.25232e-05;140.001;
4.09261;-1.2552e-05;140.001;
4.10204;-1.2581e-05;140.001;
4.1115;-1.261e-05;140.001;
4.12098;-1.26391e-05;140.001;
4.13048;-1.26682e-05;140.001;
4.14;-1.26974e-05;140.001;
4.14954;-1.27267e-05;140.001;
4.15911;-1.2756e-05;140.001;
4.16869;-1.27854e-05;140.001;
4.1783;-1.28149e-05;140.001;
4.18794;-1.28444e-05;140.001;
4.19759;-1.2874e-05;140.001;
4.20727;-1.29037e-05;140.001;
4.21697;-1.29335e-05;140.001;
4.22669;-1.29633e-05;140.001;
4.23643;-1.29932e-05;140.001;
4.2462;-1.30231e-05;140.001;
4.25598;-1.30531e-05;140.001;
4.2658;-1.30832e-05;140.001;
4.27563;-1.31134e-05;140.001;
4.28549;-1.31436e-05;140.001;
4.29536;-1.31739e-05;140.001;
4.30527;-1.32043e-05;140.001;
4.31519;-1.32347e-05;140.001;
4.32514;-1.32652e-05;140.001;
4.33511;-1.32958e-05;140.001;
4.3451;-1.33265e-05;140.001;
4.35512;-1.33572e-05;140.001;
4.36516;-1.3388e-05;140.001;
4.37522;-1.34188e-05;140.001;
4.38531;-1.34498e-05;140.001;
4.39542;-1.34808e-05;140.001;
4.40555;-1.35118e-05;140.001;
4.4157;-1.3543e-05;140.001;
4.42588;-1.35742e-05;140.001;
4.43609;-1.36055e-05;140.001;
4.44631;-1.36369e-05;140.001;
4.45656;-1.36683e-05;140.001;
4.46684;-1.36998e-05;140.001;
4.47713;-1.37314e-05;140.001;
4.48745;-1.3763e-05;140.001;
4.4978;-1.37948e-05;140.001;
4.50817;-1.38266e-05;140.001;
4.51856;-1.38584e-05;140.001;
4.52898;-1.38904e-05;140.001;
4.53942;-1.39224e-05;140.001;
4.54988;-1.39545e-05;140.001;
4.56037;-1.39867e-05;140.001;
4.57088;-1.40189e-05;140.001;
4.58142;-1.40512e-05;140.001;
4.59198;-1.40836e-05;140.001;
4.60257;-1.41161e-05;140.001;
4.61318;-1.41486e-05;140.001;
4.62381;-1.41813e-05;140.001;
4.63447;-1.42139e-05;140.001;
4.64515;-1.42467e-05;140.001;
4.65586;-1.42796e-05;140.001;
4.66659;-1.43125e-05;140.001;
4.67735;-1.43455e-05;140.001;
4.68813;-1.43785e-05;140.001;
4.69894;-1.44117e-05;140.001;
4.70977;-1.44449e-05;140.001;
4.72063;-1.44782e-05;140.001;
4.73151;-1.45116e-05;140.001;
4.74242;-1.4545e-05;140.001;
4.75335;-1.45786e-05;140.001;
4.76431;-1.46122e-05;140.001;
4.77529;-1.46459e-05;140.001;
4.7863;-1.46796e-05;140.001;
4.79733;-1.47135e-05;140.001;
4.80839;-1.47474e-05;140.001;
4.81948;-1.47814e-05;140.001;
4.83059;-1.48154e-05;140.001;
4.84172;-1.48496e-05;140.001;
4.85289;-1.48838e-05;140.001;
4.86407;-1.49181e-05;140.001;
4.87528;-1.49525e-05;140.001;
4.88652;-1.4987e-05;140.001;
4.89779;-1.50215e-05;140.001;
4.90908;-1.50562e-05;140.001;
4.9204;-1.50909e-05;140.001;
4.93174;-1.51257e-05;140.001;
4.94311;-1.51605e-05;140.001;
4.9545;-1.51955e-05;140.001;
4.96592;-1.52305e-05;140.001;
4.97737;-1.52656e-05;140.001;
4.98884;-1.53008e-05;140.001;
5.00035;-1.53361e-05;140.001;
5.01187;-1.53714e-05;140.001;
5.02343;-1.54069e-05;140.001;
5.03501;-1.54424e-05;140.001;
5.04661;-1.5478e-05;140.001;
5.05825;-1.55137e-05;140.001;
5.06991;-1.55494e-05;140.001;
5.08159;-1.55853e-05;140.001;
5.09331;-1.56212e-05;140.001;
5.10505;-1.56572e-05;140.001;
5.11682;-1.56933e-05;140.001;
5.12861;-1.57295e-05;140.001;
5.14044;-1.57657e-05;140.001;
5.15229;-1.58021e-05;140.001;
5.16416;-1.58385e-05;140.001;
5.17607;-1.5875e-05;140.001;
5.188;-1.59116e-05;140.001;
5.19996;-1.59483e-05;140.001;
5.21195;-1.59851e-05;140.001;
5.22396;-1.60219e-05;140.001;
5.236;-1.60589e-05;140.001;
5.24807;-1.60959e-05;140.001;
5.26017;-1.6133e-05;140.001;
5.2723;-1.61702e-05;140.001;
5.28445;-1.62074e-05;140.001;
5.29663;-1.62448e-05;140.001;
5.30884;-1.62823e-05;140.001;
5.32108;-1.63198e-05;140.001;
5.33335;-1.63574e-05;140.001;
5.34564;-1.63951e-05;140.001;
5.35797;-1.64329e-05;140.001;
5.37032;-1.64708e-05;140.001;
