frequency;V(/Different_topology/VOUT) (phase);V(/Different_topology/VOUT) (gain);
35481.3;1.70239e-06;140.001;
36307.8;1.93608e-06;140.001;
37153.5;2.18909e-06;140.001;
38018.9;2.46286e-06;140.001;
38904.5;2.75894e-06;140.001;
39810.7;3.07899e-06;140.001;
40738;3.42479e-06;140.001;
41686.9;3.79825e-06;140.001;
42658;4.20141e-06;140.001;
43651.6;4.63646e-06;140.001;
44668.4;5.10577e-06;140.001;
45708.8;5.61185e-06;140.001;
46773.5;6.1574e-06;140.001;
47863;6.74533e-06;140.001;
48977.9;7.37875e-06;140.001;
50118.7;8.06098e-06;140.001;
51286.1;8.79561e-06;140.001;
52480.7;9.58646e-06;140.001;
53703.2;1.04376e-05;140.001;
54954.1;1.13536e-05;140.001;
56234.1;1.23389e-05;140.001;
57544;1.33988e-05;140.001;
58884.4;1.45386e-05;140.001;
60256;1.57642e-05;140.001;
61659.5;1.70817e-05;140.001;
63095.7;1.84979e-05;140.001;
64565.4;2.00199e-05;140.001;
66069.3;2.16554e-05;140.001;
67608.3;2.34126e-05;140.001;
69183.1;2.53003e-05;140.001;
70794.6;2.7328e-05;140.001;
72443.6;2.95059e-05;140.001;
74131;3.18446e-05;140.001;
75857.8;3.4356e-05;140.001;
77624.7;3.70524e-05;140.001;
79432.8;3.99473e-05;140.001;
81283.1;4.30549e-05;140.001;
83176.4;4.63906e-05;140.001;
85113.8;4.99708e-05;140.001;
87096.4;5.38132e-05;140.001;
89125.1;5.79366e-05;140.001;
91201.1;6.23614e-05;140.001;
93325.4;6.71091e-05;140.001;
95499.3;7.22032e-05;140.001;
97723.7;7.76683e-05;140.001;
100000;8.35314e-05;140.001;
102329;8.9821e-05;140.001;
104713;9.65678e-05;140.001;
107152;0.000103805;140.001;
109648;0.000111567;140.001;
112202;0.000119892;140.001;
114815;0.00012882;140.001;
117490;0.000138396;140.001;
120226;0.000148664;140.001;
123027;0.000159676;140.001;
125893;0.000171484;140.001;
128825;0.000184145;140.001;
131826;0.000197722;140.001;
134896;0.000212279;140.001;
138038;0.000227886;140.001;
141254;0.00024462;140.001;
144544;0.000262561;140.001;
147911;0.000281795;140.001;
151356;0.000302415;140.001;
154882;0.000324521;140.001;
158489;0.000348219;140.001;
162181;0.000373624;140.001;
165959;0.000400857;140.001;
169824;0.000430049;140.001;
173780;0.000461342;140.001;
177828;0.000494885;140.001;
181970;0.00053084;140.001;
186209;0.000569379;140.001;
190546;0.000610688;140.001;
194984;0.000654966;140.001;
199526;0.000702423;140.001;
204174;0.00075329;140.001;
208930;0.000807809;140.001;
213796;0.000866242;140.001;
218776;0.000928869;140.001;
223872;0.000995992;140.001;
229087;0.00106793;140.001;
234423;0.00114503;140.001;
239883;0.00122766;140.001;
245471;0.00131622;140.001;
251189;0.00141113;140.001;
257040;0.00151285;140.001;
263027;0.00162186;140.001;
269153;0.00173868;140.001;
275423;0.00186388;140.001;
281838;0.00199805;140.001;
288403;0.00214184;140.001;
295121;0.00229593;140.001;
301995;0.00246107;140.001;
309030;0.00263803;140.001;
316228;0.00282768;140.001;
323594;0.00303091;140.001;
331131;0.0032487;140.001;
338844;0.00348209;140.001;
346737;0.0037322;140.001;
354813;0.00400022;140.001;
363078;0.00428743;140.001;
371535;0.00459521;140.001;
380189;0.00492503;140.001;
389045;0.00527846;140.001;
398107;0.0056572;140.001;
407380;0.00606306;140.001;
416869;0.00649797;140.001;
426580;0.00696402;140.001;
436516;0.00746343;140.001;
446684;0.00799859;140.001;
457088;0.00857206;140.001;
467735;0.00918657;140.001;
478630;0.00984506;140.001;
489779;0.0105507;140.001;
501187;0.0113068;140.001;
512861;0.0121171;140.001;
524807;0.0129853;140.001;
537032;0.0139156;140.001;
549541;0.0149126;140.001;
562341;0.0159809;140.001;
575440;0.0171256;140.001;
588844;0.0183522;140.001;
602560;0.0196666;140.001;
616595;0.0210751;140.001;
630957;0.0225843;140.001;
645654;0.0242016;140.001;
660693;0.0259345;140.001;
676083;0.0277914;140.001;
691831;0.0297812;140.001;
707946;0.0319133;140.001;
724436;0.034198;140.001;
741310;0.0366462;140.001;
758578;0.0392694;140.001;
776247;0.0420804;140.001;
794328;0.0450925;140.001;
812831;0.04832;140.001;
831764;0.0517785;140.001;
851138;0.0554843;140.001;
870964;0.0594553;140.001;
891251;0.0637103;140.001;
912011;0.0682698;140.001;
933254;0.0731554;140.001;
954993;0.0783905;140.001;
977237;0.0840001;140.001;
1e+06;0.090011;140.001;
1.02329e+06;0.0964519;140.001;
1.04713e+06;0.103354;140.001;
1.07152e+06;0.110749;140.002;
1.09648e+06;0.118673;140.002;
1.12202e+06;0.127164;140.002;
1.14815e+06;0.136263;140.002;
1.1749e+06;0.146013;140.002;
1.20226e+06;0.15646;140.002;
1.23027e+06;0.167654;140.002;
1.25893e+06;0.179649;140.002;
1.28825e+06;0.192502;140.002;
1.31826e+06;0.206274;140.002;
1.34896e+06;0.221032;140.002;
1.38038e+06;0.236845;140.002;
1.41254e+06;0.25379;140.002;
1.44544e+06;0.271947;140.002;
